ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6340432,HP426226,07/01/2008 12:42:02 AM,049XX W RICE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,true,false,1531,015,37,25,18,1143368,1905208,2008,02/04/2016 06:33:39 AM,41.895927928,-87.748890135,"(41.895927928, -87.748890135)"
6340435,HP416636,06/26/2008 05:00:00 AM,100XX W OHARE ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,false,false,1651,016,41,76,26,1100658,1934241,2008,02/04/2016 06:33:39 AM,41.976290414,-87.905227221,"(41.976290414, -87.905227221)"
6340436,HP417311,06/26/2008 01:00:00 PM,009XX W LAWRENCE AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,2312,019,46,3,18,1169074,1932065,2008,02/04/2016 06:33:39 AM,41.969105494,-87.65369558,"(41.969105494, -87.65369558)"
6340438,HP427386,07/01/2008 06:00:00 AM,040XX W CORTLAND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2534,025,30,20,08B,1149214,1912320,2008,02/04/2016 06:33:39 AM,41.915332682,-87.727234252,"(41.915332682, -87.727234252)"
6340444,HP418021,06/26/2008 08:10:33 PM,053XX W CORNELIA AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1634,016,38,15,18,1140237,1922755,2008,02/04/2016 06:33:39 AM,41.944136761,-87.759958897,"(41.944136761, -87.759958897)"
6340445,HP409835,06/22/2008 11:00:00 AM,023XX S LEAVITT ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,1034,010,25,31,14,1162074,1888282,2008,02/04/2016 06:33:39 AM,41.849111229,-87.68065944,"(41.849111229, -87.68065944)"
6340447,HP416221,06/25/2008 09:37:00 PM,009XX W 64TH ST,0560,ASSAULT,SIMPLE,STREET,true,false,0723,007,16,68,08A,1170963,1862390,2008,02/04/2016 06:33:39 AM,41.777870936,-87.648792977,"(41.777870936, -87.648792977)"
6340448,HP428070,07/01/2008 10:49:00 PM,062XX S COTTAGE GROVE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,true,false,0313,003,20,42,15,1182634,1863909,2008,02/04/2016 06:33:39 AM,41.781776304,-87.605960056,"(41.781776304, -87.605960056)"
6340449,HP424700,06/30/2008 04:50:00 AM,0000X W 107TH ST,0610,BURGLARY,FORCIBLE ENTRY,CONSTRUCTION SITE,false,false,0513,005,34,49,05,1177727,1834014,2008,02/04/2016 06:33:39 AM,41.69985327,-87.624852514,"(41.69985327, -87.624852514)"
6340450,HP418815,06/27/2008 12:00:00 AM,042XX N MELVINA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1624,016,38,15,14,1134260,1927521,2008,02/04/2016 06:33:39 AM,41.957322774,-87.781815324,"(41.957322774, -87.781815324)"
6340454,HP428797,07/01/2008 05:00:00 PM,031XX S MICHIGAN AVE,0890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,false,false,2112,002,3,35,06,1177701,1884261,2008,02/04/2016 06:33:39 AM,41.83773708,-87.623429152,"(41.83773708, -87.623429152)"
6340455,HP428770,07/01/2008 10:00:00 PM,004XX N STATE ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,1834,018,42,8,06,1176302,1903096,2008,02/04/2016 06:33:39 AM,41.889453169,-87.627994833,"(41.889453169, -87.627994833)"
6340457,HP419788,06/02/2008 10:00:00 AM,057XX S SPAULDING AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0822,008,14,63,07,1155364,1866307,2008,02/04/2016 06:33:39 AM,41.788946275,-87.705874885,"(41.788946275, -87.705874885)"
6340458,HP428790,07/01/2008 10:00:00 PM,021XX N FREMONT ST,0810,THEFT,OVER $500,STREET,false,false,1812,018,43,7,06,1169942,1914395,2008,02/04/2016 06:33:39 AM,41.920599374,-87.651021169,"(41.920599374, -87.651021169)"
6340459,HP426223,07/01/2008 12:36:32 AM,004XX N LOCKWOOD AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1523,015,28,25,18,1140962,1902355,2008,02/04/2016 06:33:39 AM,41.888143584,-87.757797268,"(41.888143584, -87.757797268)"
6340461,HP418239,03/21/2008 01:00:00 PM,100XX W OHARE ST,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",AIRPORT/AIRCRAFT,false,false,1651,016,41,76,11,1100658,1934241,2008,02/04/2016 06:33:39 AM,41.976290414,-87.905227221,"(41.976290414, -87.905227221)"
6340462,HP421696,06/28/2008 04:35:00 PM,045XX W CONGRESS PKWY,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,true,false,1131,011,24,26,18,1146341,1897308,2008,02/04/2016 06:33:39 AM,41.874193327,-87.73817205,"(41.874193327, -87.73817205)"
6340466,HP422139,06/28/2008 09:45:00 PM,029XX E 83RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0424,004,10,46,18,1197409,1850508,2008,02/04/2016 06:33:39 AM,41.744647338,-87.552238463,"(41.744647338, -87.552238463)"
6340467,HP427857,07/01/2008 04:00:00 PM,065XX N ALBANY AVE,0560,ASSAULT,SIMPLE,ALLEY,false,false,2412,024,50,2,08A,1154486,1943198,2008,02/04/2016 06:33:39 AM,41.999960038,-87.707036239,"(41.999960038, -87.707036239)"
6340469,HP426553,07/01/2008 08:30:00 AM,100XX W OHARE ST,0460,BATTERY,SIMPLE,AIRPORT/AIRCRAFT,true,false,1651,016,41,76,08B,1100658,1934241,2008,02/04/2016 06:33:39 AM,41.976290414,-87.905227221,"(41.976290414, -87.905227221)"
6340471,HP426661,07/01/2008 10:20:00 AM,020XX N KOSTNER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2522,025,31,20,08B,1146728,1913166,2008,02/04/2016 06:33:39 AM,41.917702036,-87.736346019,"(41.917702036, -87.736346019)"
6340472,HP413244,06/24/2008 01:00:00 AM,062XX S MASSASOIT AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0812,008,13,64,06,1139143,1862687,2008,02/04/2016 06:33:39 AM,41.779321817,-87.765440421,"(41.779321817, -87.765440421)"
6340475,HP427788,07/01/2008 08:14:07 PM,049XX W IOWA ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,true,false,1531,015,37,25,18,1143278,1905528,2008,02/04/2016 06:33:39 AM,41.896807727,-87.749212689,"(41.896807727, -87.749212689)"
6340476,HP423861,06/29/2008 08:07:00 PM,065XX S PROMONTORY DR,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,true,false,0331,003,5,42,26,1192337,1862034,2008,02/04/2016 06:33:39 AM,41.776400433,-87.570448042,"(41.776400433, -87.570448042)"
6340478,HP422614,06/28/2008 10:30:00 PM,008XX E 131ST ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,0533,005,9,54,03,1184187,1818525,2008,02/04/2016 06:33:39 AM,41.657201054,-87.601680486,"(41.657201054, -87.601680486)"
6340479,HP412306,06/23/2008 05:00:00 PM,015XX S SPAULDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1022,010,24,29,14,1154614,1892291,2008,02/04/2016 06:33:39 AM,41.860264706,-87.707931376,"(41.860264706, -87.707931376)"
6340481,HP426840,07/01/2008 10:13:29 AM,022XX E 100TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0431,004,7,51,14,1192941,1839105,2008,02/04/2016 06:33:39 AM,41.713466568,-87.5689805,"(41.713466568, -87.5689805)"
6340482,HP428794,06/27/2008 03:00:00 PM,028XX E 93RD ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0423,004,7,48,26,1196398,1843834,2008,02/04/2016 06:33:39 AM,41.726358457,-87.556163641,"(41.726358457, -87.556163641)"
6340484,HP428108,07/01/2008 11:10:00 PM,068XX S ABERDEEN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,0724,007,17,68,14,1170160,1859536,2008,02/04/2016 06:33:39 AM,41.770056715,-87.651819704,"(41.770056715, -87.651819704)"
6340485,HP427496,07/01/2008 04:17:46 PM,085XX S SAGINAW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,false,0423,004,7,46,08B,1195312,1848853,2008,02/04/2016 06:33:39 AM,41.74015786,-87.559976481,"(41.74015786, -87.559976481)"
6340487,HP427349,06/30/2008 07:00:00 PM,043XX W PALMER ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,2522,025,30,20,26,1146899,1914265,2008,02/04/2016 06:33:39 AM,41.920714531,-87.735689614,"(41.920714531, -87.735689614)"
6340489,HP424452,06/30/2008 04:30:00 AM,063XX S LOWE AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,STREET,true,true,0723,007,16,68,04B,1173131,1862699,2008,02/04/2016 06:33:39 AM,41.778671235,-87.640835937,"(41.778671235, -87.640835937)"
6340490,HP426881,07/01/2008 12:20:00 PM,003XX N CENTRAL PARK AVE,0810,THEFT,OVER $500,PARK PROPERTY,false,false,1123,011,28,27,06,1152330,1901857,2008,02/04/2016 06:33:39 AM,41.886560206,-87.716062887,"(41.886560206, -87.716062887)"
6340491,HP422399,06/29/2008 12:51:19 AM,013XX W 63RD ST,2027,NARCOTICS,POSS: CRACK,STREET,true,false,0724,007,16,67,18,1168608,1862990,2008,02/04/2016 06:33:39 AM,41.779568529,-87.657409171,"(41.779568529, -87.657409171)"
6340492,HP426884,07/01/2008 12:15:00 PM,002XX E CONGRESS DR,0820,THEFT,$500 AND UNDER,STREET,false,false,0124,001,2,32,06,1178113,1898122,2008,02/04/2016 06:33:39 AM,41.87576321,-87.621495684,"(41.87576321, -87.621495684)"
6340493,HP412518,06/23/2008 10:27:00 PM,035XX N LARAMIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1634,016,38,15,18,1141067,1923204,2008,02/04/2016 06:33:39 AM,41.945353584,-87.756897046,"(41.945353584, -87.756897046)"
6340494,HP427373,07/01/2008 05:00:00 AM,036XX E 99TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0432,004,10,52,14,1202251,1840050,2008,02/04/2016 06:33:39 AM,41.715827869,-87.534852667,"(41.715827869, -87.534852667)"
6340496,HP418080,06/26/2008 07:30:48 PM,120XX S UNION AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ABANDONED BUILDING,true,false,0523,005,34,53,15,1173820,1825047,2008,02/04/2016 06:33:39 AM,41.675333726,-87.639422757,"(41.675333726, -87.639422757)"
6340497,HP422242,06/28/2008 10:29:00 PM,063XX S WOODLAWN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,true,false,0314,003,20,42,14,1185312,1862972,2008,02/04/2016 06:33:39 AM,41.779142513,-87.596171419,"(41.779142513, -87.596171419)"
6340498,HP427449,07/01/2008 04:45:00 PM,026XX N NARRAGANSETT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,2512,025,36,19,14,1133296,1916864,2008,02/04/2016 06:33:39 AM,41.928095762,-87.785609696,"(41.928095762, -87.785609696)"
6340499,HP412550,06/23/2008 10:50:00 PM,014XX S TRUMBULL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1021,010,24,29,14,1153603,1892800,2008,02/04/2016 06:33:39 AM,41.861681608,-87.71162899,"(41.861681608, -87.71162899)"
6340500,HP420251,06/27/2008 10:10:00 PM,057XX S RACINE AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,0713,007,16,67,24,1169298,1866822,2008,02/04/2016 06:33:39 AM,41.79006908,-87.654768679,"(41.79006908, -87.654768679)"
6340502,HP423990,06/29/2008 09:47:00 PM,069XX S ASHLAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0735,007,17,67,18,1166876,1858796,2008,02/04/2016 06:33:39 AM,41.768096835,-87.663878589,"(41.768096835, -87.663878589)"
6340504,HP427606,07/01/2008 06:08:28 PM,102XX S HOXIE AVE,0460,BATTERY,SIMPLE,ALLEY,true,false,0431,004,10,51,08B,1195162,1837545,2008,02/04/2016 06:33:39 AM,41.709131384,-87.560897813,"(41.709131384, -87.560897813)"
6340506,HP427704,07/01/2008 05:28:24 PM,017XX E 95TH ST,0850,THEFT,ATTEMPT THEFT,SMALL RETAIL STORE,false,false,0431,004,7,51,06,1189387,1842324,2008,02/04/2016 06:33:39 AM,41.722385688,-87.581893417,"(41.722385688, -87.581893417)"
6340507,HP420311,06/27/2008 10:20:00 PM,008XX W LELAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2312,019,46,3,18,1169890,1931428,2008,02/04/2016 06:33:39 AM,41.967339746,-87.650713839,"(41.967339746, -87.650713839)"
6340509,HP426324,07/01/2008 03:17:36 AM,122XX S UNION AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0523,005,34,53,03,1173862,1823805,2008,02/04/2016 06:33:39 AM,41.671924547,-87.639305643,"(41.671924547, -87.639305643)"
6340511,HP427614,06/24/2008 09:00:00 PM,069XX S KIMBARK AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,false,true,0321,003,5,69,26,1185930,1859338,2008,02/04/2016 06:33:39 AM,41.769155938,-87.594020331,"(41.769155938, -87.594020331)"
6340512,HP428129,07/01/2008 10:30:00 PM,009XX W 70TH ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,0733,007,17,68,06,1171325,1858422,2008,02/04/2016 06:33:39 AM,41.766974351,-87.647581868,"(41.766974351, -87.647581868)"
6340513,HP428144,07/01/2008 10:45:00 PM,009XX N LAWNDALE AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1112,011,27,23,03,1151544,1906032,2008,02/04/2016 06:33:39 AM,41.898032309,-87.718839495,"(41.898032309, -87.718839495)"
6340515,HP421493,06/28/2008 02:45:00 PM,011XX N SPRINGFIELD AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),ALLEY,true,false,1112,011,27,23,18,1150174,1907391,2008,02/04/2016 06:33:39 AM,41.901788359,-87.723835955,"(41.901788359, -87.723835955)"
6340516,HP415256,06/25/2008 12:23:26 PM,014XX W DEVON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,TAVERN/LIQUOR STORE,false,false,2432,024,40,1,14,1165635,1942615,2008,02/04/2016 06:33:39 AM,41.998129171,-87.666038464,"(41.998129171, -87.666038464)"
6340517,HP418836,06/27/2008 12:00:00 AM,082XX S BRANDON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0424,004,7,46,14,1198914,1850936,2008,02/04/2016 06:33:39 AM,41.74578418,-87.546709739,"(41.74578418, -87.546709739)"
6340519,HP427996,07/01/2008 09:59:12 PM,002XX S LAVERGNE AVE,1610,GAMBLING,BOOKMAKING/HORSES,SIDEWALK,true,false,1533,015,28,25,19,1143289,1898790,2008,02/04/2016 06:33:39 AM,41.878317645,-87.74934071,"(41.878317645, -87.74934071)"
6340521,HP428010,07/01/2008 09:28:28 PM,076XX S ESSEX AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0421,004,7,43,14,1194187,1854870,2008,02/04/2016 06:33:39 AM,41.756696665,-87.563901121,"(41.756696665, -87.563901121)"
6340525,HP421630,06/28/2008 04:39:12 PM,040XX N LEAVITT ST,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,STREET,true,false,1912,019,47,5,18,1160967,1926972,2008,02/04/2016 06:33:39 AM,41.955302651,-87.683646865,"(41.955302651, -87.683646865)"
6340526,HP427451,04/16/2008 07:00:00 PM,017XX W HOWARD ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,false,false,2422,024,49,1,11,1163126,1950347,2008,02/04/2016 06:33:39 AM,42.019399237,-87.675049485,"(42.019399237, -87.675049485)"
6340527,HP415968,06/25/2008 07:00:00 PM,030XX W MADISON ST,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,ALLEY,true,false,1124,011,28,27,18,1156098,1899864,2008,02/04/2016 06:33:39 AM,41.88101601,-87.702279602,"(41.88101601, -87.702279602)"
6340529,HP248708,03/27/2008 07:00:00 PM,013XX W HENDERSON ST,0820,THEFT,$500 AND UNDER,ALLEY,false,false,1924,019,44,6,06,1166783,1922360,2008,02/04/2016 06:33:39 AM,41.942524138,-87.662398904,"(41.942524138, -87.662398904)"
6340530,HP428212,07/02/2008 12:28:22 AM,078XX S KINGSTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0421,004,7,43,14,1194548,1853530,2008,02/04/2016 06:33:39 AM,41.753010734,-87.562622141,"(41.753010734, -87.562622141)"
6340531,HP427774,07/01/2008 07:30:00 PM,006XX S COLUMBUS DR,0810,THEFT,OVER $500,PARK PROPERTY,false,false,0124,001,2,32,06,1178368,1897542,2008,02/04/2016 06:33:39 AM,41.874165851,-87.620577113,"(41.874165851, -87.620577113)"
6340532,HP428133,07/01/2008 11:37:52 PM,057XX S SANGAMON ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0712,007,16,68,08A,1170956,1866767,2008,02/04/2016 06:33:39 AM,41.789882083,-87.648690872,"(41.789882083, -87.648690872)"
6340535,HP425886,06/30/2008 08:57:03 PM,066XX S HALSTED ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,0723,007,16,68,24,1172109,1860955,2008,02/04/2016 06:33:39 AM,41.773908018,-87.644633853,"(41.773908018, -87.644633853)"
6340537,HP427245,07/01/2008 03:37:23 PM,063XX N CALIFORNIA AVE,0560,ASSAULT,SIMPLE,STREET,false,false,2413,024,50,2,08A,1156515,1942002,2008,02/04/2016 06:33:39 AM,41.996637198,-87.699604564,"(41.996637198, -87.699604564)"
6340544,HP428432,07/02/2008 04:37:51 AM,075XX S COLFAX AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,true,false,0421,004,7,43,26,1194834,1855484,2008,02/04/2016 06:33:39 AM,41.758365623,-87.561509844,"(41.758365623, -87.561509844)"
6340545,HP428761,07/02/2008 03:00:00 AM,002XX N LONG AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1523,015,28,25,07,1140305,1901096,2008,02/04/2016 06:33:39 AM,41.884700797,-87.760240908,"(41.884700797, -87.760240908)"
6340546,HP426807,06/13/2008 05:00:00 PM,010XX N CENTRAL PARK AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1112,011,27,23,06,1152185,1906757,2008,02/04/2016 06:33:39 AM,41.900009157,-87.716465999,"(41.900009157, -87.716465999)"
6340547,HP424543,06/29/2008 12:00:00 PM,008XX S SPRINGFIELD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1133,011,24,26,07,1150516,1895989,2008,02/04/2016 06:33:39 AM,41.870493379,-87.72287767,"(41.870493379, -87.72287767)"
6340548,HP428821,06/27/2008 11:30:00 PM,017XX N STOCKTON DR,0810,THEFT,OVER $500,STREET,false,false,1814,018,43,7,06,1175220,1911837,2008,02/04/2016 06:33:39 AM,41.913463243,-87.631705806,"(41.913463243, -87.631705806)"
6340549,HP427272,07/01/2008 03:18:00 PM,044XX N CLIFTON AVE,2027,NARCOTICS,POSS: CRACK,ALLEY,true,false,2311,019,46,3,18,1167852,1929601,2008,02/04/2016 06:33:39 AM,41.962370707,-87.65826022,"(41.962370707, -87.65826022)"
6340550,HP427267,07/01/2008 03:39:02 PM,073XX N WESTERN AVE,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,false,false,2411,024,50,2,08A,1159015,1948528,2008,02/04/2016 06:33:39 AM,42.014493615,-87.690227788,"(42.014493615, -87.690227788)"
6340551,HP428376,07/02/2008 03:08:40 AM,006XX N LEAMINGTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,1532,015,28,25,08B,1141915,1903723,2008,02/04/2016 06:33:39 AM,41.891879948,-87.754263576,"(41.891879948, -87.754263576)"
6340552,HP428187,07/02/2008 12:18:00 AM,059XX S MORGAN ST,0460,BATTERY,SIMPLE,SIDEWALK,true,false,0712,007,16,68,08B,1170659,1865532,2008,02/04/2016 06:33:39 AM,41.786499587,-87.649815884,"(41.786499587, -87.649815884)"
6340555,HP425921,06/30/2008 08:00:00 PM,026XX W LITHUANIAN PLAZA CT,2210,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,TAVERN/LIQUOR STORE,true,false,0831,008,15,66,22,1160148,1858801,2008,02/04/2016 06:33:39 AM,41.76825161,-87.688539843,"(41.76825161, -87.688539843)"
6340556,HP426193,07/01/2008 12:02:27 AM,0000X W WACKER DR,1330,CRIMINAL TRESPASS,TO LAND,HOTEL/MOTEL,false,false,0122,001,42,32,26,1176210,1902134,2008,02/04/2016 06:33:39 AM,41.886815464,-87.628361716,"(41.886815464, -87.628361716)"
6340557,HP427908,07/01/2008 08:15:00 PM,125XX S BURLEY AVE,0460,BATTERY,SIMPLE,FACTORY/MANUFACTURING BUILDING,true,false,0433,004,10,55,08B,1199811,1822463,2008,02/04/2016 06:33:39 AM,41.667629215,-87.54437888,"(41.667629215, -87.54437888)"
6340558,HP418724,06/27/2008 07:10:00 AM,100XX W OHARE ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,false,false,1651,016,41,76,26,1100658,1934241,2008,02/04/2016 06:33:39 AM,41.976290414,-87.905227221,"(41.976290414, -87.905227221)"
6340560,HP427307,07/01/2008 03:05:00 PM,055XX S HALSTED ST,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,ALLEY,false,false,0711,007,3,68,03,1171915,1868079,2008,02/04/2016 06:33:39 AM,41.793461345,-87.645135997,"(41.793461345, -87.645135997)"
6340561,HP424250,06/30/2008 02:07:00 AM,0000X W 115TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,OTHER RAILROAD PROP / TRAIN DEPOT,false,false,0522,005,34,53,03,1177861,1828712,2008,02/04/2016 06:33:39 AM,41.685300786,-87.624521616,"(41.685300786, -87.624521616)"
6340562,HP427786,07/01/2008 08:13:32 PM,016XX W FARWELL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2431,024,49,1,26,1164145,1945688,2008,02/04/2016 06:33:39 AM,42.006593288,-87.671432258,"(42.006593288, -87.671432258)"
6340564,HP428792,07/02/2008 10:50:00 AM,068XX S ROCKWELL ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0831,008,15,66,26,1160221,1859159,2008,02/04/2016 06:33:39 AM,41.769232512,-87.68826242,"(41.769232512, -87.68826242)"
6340565,HP415453,06/25/2008 02:15:00 PM,052XX N NAGLE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1622,016,45,11,18,1132573,1934639,2008,02/04/2016 06:33:39 AM,41.9768849,-87.787850773,"(41.9768849, -87.787850773)"
6340568,HP428422,07/02/2008 04:52:43 AM,055XX W VAN BUREN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1522,015,29,25,08B,1139662,1897467,2008,02/04/2016 06:33:39 AM,41.87475411,-87.762690738,"(41.87475411, -87.762690738)"
6340569,HP427324,07/01/2008 03:50:00 PM,002XX W JACKSON BLVD,0820,THEFT,$500 AND UNDER,STREET,false,false,0112,001,2,32,06,1174674,1898951,2008,02/04/2016 06:33:39 AM,41.878115609,-87.634097494,"(41.878115609, -87.634097494)"
6340570,HP426272,07/01/2008 02:00:00 AM,021XX N MAJOR AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,VEHICLE NON-COMMERCIAL,false,false,2515,025,29,19,26,1138052,1913387,2008,02/04/2016 06:33:39 AM,41.918469789,-87.768217057,"(41.918469789, -87.768217057)"
6340571,HP428189,07/01/2008 10:45:00 PM,059XX S ABERDEEN ST,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,0712,007,16,68,03,1169999,1865392,2008,02/04/2016 06:33:39 AM,41.786129784,-87.652239848,"(41.786129784, -87.652239848)"
6340573,HP427155,07/01/2008 02:10:00 PM,075XX N HOYNE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE PORCH/HALLWAY,false,true,2424,024,49,1,26,1160972,1949967,2008,02/04/2016 06:33:39 AM,42.018401693,-87.682986576,"(42.018401693, -87.682986576)"
6340576,HP415736,06/25/2008 04:45:00 PM,072XX S JEFFERY BLVD,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,true,false,0333,003,5,43,14,1190794,1857482,2008,02/04/2016 06:33:39 AM,41.763946811,-87.576251377,"(41.763946811, -87.576251377)"
6340577,HP427941,07/01/2008 09:10:00 PM,082XX S BURLEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,0424,004,7,46,08B,1199249,1850766,2008,02/04/2016 06:33:39 AM,41.745309277,-87.545487967,"(41.745309277, -87.545487967)"
6340583,HP423870,06/29/2008 08:48:17 PM,117XX S MICHIGAN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0532,005,9,53,18,1178950,1826960,2008,02/04/2016 06:33:39 AM,41.680468383,-87.620588133,"(41.680468383, -87.620588133)"
6340584,HP423828,06/29/2008 07:45:00 PM,023XX W 68TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0832,008,17,66,03,1161748,1859506,2008,02/04/2016 06:33:39 AM,41.770153165,-87.682655498,"(41.770153165, -87.682655498)"
6340585,HP425918,06/30/2008 07:28:00 PM,062XX S WESTERN AVE,2210,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,STREET,true,false,0825,008,15,66,22,1161446,1863118,2008,02/04/2016 06:33:39 AM,41.780071261,-87.683662489,"(41.780071261, -87.683662489)"
6340586,HP423996,06/29/2008 09:48:13 PM,075XX N OAKLEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,2411,024,49,2,08B,1159680,1949907,2008,02/04/2016 06:33:39 AM,42.018263891,-87.68774258,"(42.018263891, -87.68774258)"
6340587,HP420805,06/28/2008 05:30:00 AM,100XX W OHARE ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,false,false,1651,016,41,76,26,1100658,1934241,2008,02/04/2016 06:33:39 AM,41.976290414,-87.905227221,"(41.976290414, -87.905227221)"
6340588,HP427898,07/01/2008 08:45:00 PM,0000X N WABASH AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,0122,001,42,32,06,1176806,1900539,2008,02/04/2016 06:33:39 AM,41.882425241,-87.626221334,"(41.882425241, -87.626221334)"
6340590,HP427120,07/01/2008 01:55:00 AM,037XX W OHIO ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1122,011,27,23,19,1151423,1903743,2008,02/04/2016 06:33:39 AM,41.89175344,-87.719344084,"(41.89175344, -87.719344084)"
