ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6341473,HP429069,07/02/2008 01:00:00 PM,011XX N PAULINA ST,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,1322,012,1,24,04A,1164849,1907788,2008,02/04/2016 06:33:39 AM,41.902578999,-87.669921573,"(41.902578999, -87.669921573)"
6341474,HP430379,07/03/2008 02:00:00 AM,028XX W NELSON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1411,014,33,21,14,1156886,1920145,2008,02/04/2016 06:33:39 AM,41.936652833,-87.698835234,"(41.936652833, -87.698835234)"
6341475,HP427579,07/01/2008 05:42:00 PM,009XX W WILSON AVE,2027,NARCOTICS,POSS: CRACK,ALLEY,true,false,2312,019,46,3,18,1169102,1930732,2008,02/04/2016 06:33:39 AM,41.965447092,-87.653631509,"(41.965447092, -87.653631509)"
6341477,HP429996,07/02/2008 09:55:00 PM,045XX N WESTERN AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE PORCH/HALLWAY,false,false,1911,019,47,4,26,1159552,1930116,2008,02/04/2016 06:33:39 AM,41.963959275,-87.688761745,"(41.963959275, -87.688761745)"
6341478,HP430285,07/03/2008 02:30:00 AM,021XX S HARDING AVE,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,false,false,1014,010,24,29,07,1150388,1889381,2008,02/04/2016 06:33:39 AM,41.852362737,-87.723519921,"(41.852362737, -87.723519921)"
6341479,HP429823,07/02/2008 08:05:00 PM,019XX W LARCHMONT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1923,019,47,5,08B,1162797,1926237,2008,02/04/2016 06:33:39 AM,41.953247508,-87.676940131,"(41.953247508, -87.676940131)"
6341480,HP430286,07/03/2008 05:00:00 AM,071XX S PRINCETON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0731,007,6,69,14,1175531,1857579,2008,02/04/2016 06:33:39 AM,41.764568009,-87.632190432,"(41.764568009, -87.632190432)"
6341481,HP429834,07/02/2008 08:13:00 PM,024XX W MONTROSE AVE,0560,ASSAULT,SIMPLE,GROCERY FOOD STORE,true,false,1912,019,47,5,08A,1159164,1929145,2008,02/04/2016 06:33:39 AM,41.9613028,-87.690215099,"(41.9613028, -87.690215099)"
6341482,HP429591,07/02/2008 05:30:00 PM,040XX N CAMPBELL AVE,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,1912,019,47,5,08A,1158982,1926920,2008,02/04/2016 06:33:39 AM,41.955201022,-87.690945553,"(41.955201022, -87.690945553)"
6341483,HP428632,07/02/2008 08:35:00 AM,032XX N SHEFFIELD AVE,0460,BATTERY,SIMPLE,HOTEL/MOTEL,true,false,1924,019,44,6,08B,1169040,1921620,2008,02/04/2016 06:33:39 AM,41.94044477,-87.654124986,"(41.94044477, -87.654124986)"
6341484,HP427453,06/29/2008 03:00:00 AM,025XX N HALSTED ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,STREET,false,false,1933,019,43,7,11,1170505,1917288,2008,02/04/2016 06:33:39 AM,41.928525595,-87.648867761,"(41.928525595, -87.648867761)"
6341485,HP430297,07/02/2008 10:00:00 PM,084XX S BURLEY AVE,0810,THEFT,OVER $500,STREET,false,false,0424,004,10,46,06,1199278,1849621,2008,02/04/2016 06:33:39 AM,41.742166587,-87.545420123,"(41.742166587, -87.545420123)"
6341486,HP430283,07/02/2008 02:30:00 PM,065XX N FAIRFIELD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2412,024,50,2,07,1156810,1943178,2008,02/04/2016 06:33:39 AM,41.999858193,-87.698487308,"(41.999858193, -87.698487308)"
6341487,HP426747,07/01/2008 06:00:00 AM,025XX W MONTROSE AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOSPITAL BUILDING/GROUNDS,false,false,1911,019,47,4,02,1158462,1929134,2008,02/04/2016 06:33:39 AM,41.961287044,-87.692796336,"(41.961287044, -87.692796336)"
6341488,HP430296,07/02/2008 07:30:00 PM,032XX N CICERO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1731,017,30,15,07,1143809,1920963,2008,02/04/2016 06:33:39 AM,41.939153031,-87.746874717,"(41.939153031, -87.746874717)"
6341489,HP429810,07/02/2008 07:30:00 PM,027XX W GIDDINGS ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1911,019,47,4,05,1157273,1931438,2008,02/04/2016 06:33:39 AM,41.967633654,-87.697104852,"(41.967633654, -87.697104852)"
6341490,HP429607,07/02/2008 11:00:00 AM,014XX W IRVING PARK RD,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1923,019,47,6,05,1165690,1926652,2008,02/04/2016 06:33:39 AM,41.954324992,-87.666293397,"(41.954324992, -87.666293397)"
6341491,HP423447,06/29/2008 11:00:00 AM,021XX W BELMONT AVE,0620,BURGLARY,UNLAWFUL ENTRY,OTHER,false,false,1913,019,32,5,05,1161579,1921230,2008,02/04/2016 06:33:39 AM,41.939533531,-87.681557553,"(41.939533531, -87.681557553)"
6341493,HP430253,07/03/2008 01:15:00 AM,101XX S BENSLEY AVE,0810,THEFT,OVER $500,STREET,false,false,0431,004,10,51,06,1194488,1838260,2008,02/04/2016 06:33:39 AM,41.71110998,-87.563342614,"(41.71110998, -87.563342614)"
6341494,HP405971,06/20/2008 12:20:59 PM,091XX S HARPER AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,true,false,0413,004,8,48,15,1188041,1844759,2008,02/04/2016 06:33:39 AM,41.729099722,-87.586746207,"(41.729099722, -87.586746207)"
6341498,HP429144,07/02/2008 11:30:00 AM,044XX N LINCOLN AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,1911,019,47,4,06,1160786,1929419,2008,02/04/2016 06:33:39 AM,41.962021109,-87.684244118,"(41.962021109, -87.684244118)"
6341502,HP429947,07/02/2008 08:55:00 PM,049XX S CICERO AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,0815,008,23,56,16,1145192,1871497,2008,02/04/2016 06:33:39 AM,41.803386126,-87.743041979,"(41.803386126, -87.743041979)"
6341503,HP415165,06/25/2008 11:50:00 AM,087XX S KINGSTON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0423,004,7,46,18,1194661,1847453,2008,02/04/2016 06:33:39 AM,41.73633217,-87.562407564,"(41.73633217, -87.562407564)"
6341505,HP399755,06/17/2008 05:15:00 AM,046XX W 59TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CTA TRAIN,false,false,0813,008,23,62,14,1146457,1864995,2008,02/04/2016 06:33:39 AM,41.785519673,-87.738567526,"(41.785519673, -87.738567526)"
6341507,HP415489,06/25/2008 02:55:00 PM,019XX E 79TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0414,004,8,43,18,1190726,1852981,2008,02/04/2016 06:33:39 AM,41.751597328,-87.576645714,"(41.751597328, -87.576645714)"
6341508,HP429690,07/02/2008 02:30:00 PM,032XX N WOLCOTT AVE,0810,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,false,false,1924,019,32,5,06,1163107,1921350,2008,02/04/2016 06:33:39 AM,41.9398308,-87.675938336,"(41.9398308, -87.675938336)"
6341510,HP419400,06/27/2008 02:32:00 PM,082XX S COLES AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE PORCH/HALLWAY,true,false,0424,004,7,46,18,1198252,1850893,2008,02/04/2016 06:33:39 AM,41.745682766,-87.549136816,"(41.745682766, -87.549136816)"
6341511,HP430311,07/02/2008 09:30:00 PM,050XX S WOODLAWN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2124,002,4,39,07,1185090,1871611,2008,02/04/2016 06:33:39 AM,41.802853851,-87.596713919,"(41.802853851, -87.596713919)"
6341512,HP422819,06/29/2008 08:00:00 AM,066XX S ROCKWELL ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0832,008,15,66,14,1160184,1860531,2008,02/04/2016 06:33:39 AM,41.772998239,-87.688360331,"(41.772998239, -87.688360331)"
6341513,HP429809,07/02/2008 08:14:01 PM,088XX S HALSTED ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,2223,022,21,71,18,1172523,1846284,2008,02/04/2016 06:33:39 AM,41.733639823,-87.643547406,"(41.733639823, -87.643547406)"
6341514,HP427473,07/01/2008 05:07:00 PM,031XX W 66TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0831,008,15,66,03,1156424,1860690,2008,02/04/2016 06:33:39 AM,41.773511111,-87.702139376,"(41.773511111, -87.702139376)"
6341516,HP425293,06/30/2008 11:00:00 AM,062XX S MENARD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0812,008,13,64,14,1138814,1862572,2008,02/04/2016 06:33:39 AM,41.779012193,-87.766649374,"(41.779012193, -87.766649374)"
6341517,HP430016,07/02/2008 07:00:00 PM,099XX S MORGAN ST,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,2232,022,34,73,06,1171404,1838869,2008,02/04/2016 06:33:39 AM,41.713316532,-87.647863168,"(41.713316532, -87.647863168)"
6341518,HP430308,06/20/2008 03:00:00 PM,004XX E 41ST ST,0890,THEFT,FROM BUILDING,OTHER,false,false,0213,002,3,38,06,1179773,1877905,2008,02/04/2016 06:33:39 AM,41.820248497,-87.616020877,"(41.820248497, -87.616020877)"
6341519,HP429590,07/02/2008 06:01:00 PM,088XX S OGLESBY AVE,2027,NARCOTICS,POSS: CRACK,VEHICLE NON-COMMERCIAL,true,false,0412,004,8,48,18,1193370,1846931,2008,02/04/2016 06:33:39 AM,41.734931392,-87.567154281,"(41.734931392, -87.567154281)"
6341520,HP430309,07/02/2008 05:00:00 PM,003XX S PEORIA ST,0810,THEFT,OVER $500,STREET,false,false,1213,012,2,28,06,1170465,1898655,2008,02/04/2016 06:33:39 AM,41.877396422,-87.649560503,"(41.877396422, -87.649560503)"
6341521,HP430024,07/02/2008 10:00:00 PM,113XX S CHURCH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2212,022,19,75,14,1166166,1829637,2008,02/04/2016 06:33:39 AM,41.688095222,-87.667308069,"(41.688095222, -87.667308069)"
